ScientificName,OrganismCode,IngratedDS,CommonName,NonNative,Phylum,Class,Order,Family,Genus,Species,Active
,SHRIMP,no ADD,shrimp unknown,,Arthropoda,Malacostraca,NA,NA,NA,NA,1
,SIL,no ADD,silversides unknown,,Chordata,Actinopterygii,Atheriniformes,NA,NA,NA,0
Gibbonsia metzi,SKP,Gibbonsia metzi,striped kelpfish,no,Chordata,Actinopterygii,Perciformes,Clinidae,Gibbonsia,metzi,1
Micropterus dolomieu,SMB,Micropterus dolomieu,smallmouth bass,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,dolomieu,1
Osmeridae,SMT,ADD,smelt unknown,,Chordata,Actinopterygii,Salmoniformes,Osmeridae,NA,NA,0
Mugil cephalus,SMU,Mugil cephalus,striped mullet,no,Chordata,Actinopterygii,Perciformes,Mugilidae,Mugil,cephalus,1
Scrippsia pacifica,SPACIF,Scrippsia pacifica,Scrippsia pacifica,no,Cnidaria,Hydrozoa,Anthoathecatae,Polyorchidae,Scrippsia,pacifica,1
Micropterus punctulatus,SPB,Micropterus punctulatus,spotted bass,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,punctulatus,1
Hyperprosopon anale,SPCH,Hyperprosopon anale,spotfin surfperch,no,Chordata,Actinopterygii,Percifomes,Embiotocidae,Hyperprosopon,anale,1
Citharichthys stigmaeus,SPK,Citharichthys stigmaeus,speckled sanddab,no,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,stigmaeus,1
Pogonichthys macrolepidotus,SPLT,Pogonichthys macrolepidotus,splittail,no,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pogonichthys,macrolepidotus,1
Archoplites interruptus,SPR,Archoplites interruptus,Sacramento perch,no,Chordata,Actinopterygii,Perciformes,Centrarchidae,Archoplites,interruptus,0
Cymatogaster aggregata,SRF,Cymatogaster aggregata,shiner perch,no,Chordata,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,aggregata,1
Hypomesus pretiosus,SSM,Hypomesus pretiosus,surf smelt,no,Chordata,Actinopterygii,Salmoniformes,Osmeridae,Hypomesus,pretiosus,1
Morone saxatilis,STB,Morone saxatilis,striped bass,yes,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,saxatilis,1
Platichthys stellatus,STF,Platichthys stellatus,starry flounder,no,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,stellatus,1
Embiotoca lateralis,STSP,Embiotoca lateralis,Striped Seaperch,no,Chordata,Osteichthyes,Perciformes,Embiotocidae,Embiotoca,lateralis,1
Acipenser NA,STU,ADD,sturgeon unknown,,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,NA,0
Catostomidae,SUC,ADD,sucker unknown,,Chordata,Actinopterygii,Cypriniformes,Catostomidae,NA,NA,0
Hyperprosopon ellipticum,SVR,Hyperprosopon ellipticum,silver surfperch,no,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hyperprosopon,ellipticum,1
Gila bicolor,TC,no ADD,tui chub,no,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Gila,bicolor,1
Dorosoma petenense,TFS,Dorosoma petenense,threadfin shad,yes,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Dorosoma,petenense,1
