geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
21-21-OR02	37.9351	37.9351	-121.56148	-121.56148
21-21-PP01	38.05209	38.05209	-121.49806	-121.49806
21-21-RV01	38.16597	38.16597	-121.67885	-121.67885
21-21-RV02	38.08218	38.08218	-121.73267	-121.73267
21-21-RV03	38.13266	38.13266	-121.68906	-121.68906
21-21-RV04	38.16334	38.16334	-121.67623	-121.67623
21-21-SBM01	38.0992	38.0992	-122.04545	-122.04545
21-21-SBW01	38.05913	38.05913	-122.06674	-122.06674
21-21-SBW02	38.06938	38.06938	-122.10645	-122.10645
21-21-SBW03	38.07861	38.07861	-122.08701	-122.08701
21-21-SBW04	38.07612	38.07612	-122.08378	-122.08378
21-21-SJT01	38.06103	38.06103	-121.68393	-121.68393
21-21-SM01	38.07277	38.07277	-121.8774	-121.8774
21-21-SM02	38.16857	38.16857	-121.93232	-121.93232
21-21-SPE01	38.03445	38.03445	-122.28673	-122.28673
21-21-VC01	37.86422	37.86422	-121.54842	-121.54842
21-22-FT01	38.0431	38.0431	-121.59318	-121.59318
21-22-HC01	37.99928	37.99928	-121.56935	-121.56935
21-22-LSR01	38.06931	38.06931	-121.78233	-121.78233
21-22-LSR02	38.05581	38.05581	-121.80412	-121.80412
21-22-LSSC01	38.20287	38.20287	-121.65779	-121.65779
21-22-LSSC02	38.26132	38.26132	-121.66646	-121.66646
21-22-LSSC03	38.37948	38.37948	-121.6275	-121.6275
21-22-MIW01	37.9776	37.9776	-121.51922	-121.51922
21-22-OR01	37.96844	37.96844	-121.57374	-121.57374
21-22-RV01	38.1785	38.1785	-121.66832	-121.66832
21-22-RV02	38.12774	38.12774	-121.68994	-121.68994
21-22-SBM01	38.09685	38.09685	-122.04795	-122.04795
21-22-SBM02	38.07452	38.07452	-122.02364	-122.02364
21-22-SBW01	38.05921	38.05921	-122.10159	-122.10159
21-22-SJT01	38.08922	38.08922	-121.62959	-121.62959
21-22-SM01	38.12111	38.12111	-122.07225	-122.07225
21-22-SM02	38.15544	38.15544	-122.05149	-122.05149
21-22-SM03	38.17345	38.17345	-121.94772	-121.94772
21-23-CF01	38.06061	38.06061	-121.85368	-121.85368
21-23-CS01	38.28571	38.28571	-121.66514	-121.66514
21-23-CS02	38.25031	38.25031	-121.68762	-121.68762
21-23-CS03	38.30048	38.30048	-121.72965	-121.72965
21-23-HC01	38.03474	38.03474	-121.57088	-121.57088
21-23-LNR01	38.14769	38.14769	-122.28883	-122.28883
21-23-LSJ01	38.03134	38.03134	-121.72518	-121.72518
21-23-LSR01	38.05716	38.05716	-121.8105	-121.8105
21-23-LSSC01	38.4294	38.4294	-121.60339	-121.60339
21-23-LSSC02	38.3137	38.3137	-121.65194	-121.65194
21-23-LSSC03	38.32646	38.32646	-121.64929	-121.64929
21-23-MIW01	37.97144	37.97144	-121.49518	-121.49518
21-23-MIW02	38.00506	38.00506	-121.5476	-121.5476
21-23-OR01	37.97307	37.97307	-121.5757	-121.5757
21-23-PP01	38.08314	38.08314	-121.57327	-121.57327
21-23-PP02	38.10044	38.10044	-121.59412	-121.59412
21-23-RV01	38.10968	38.10968	-121.71346	-121.71346
21-23-RV02	38.08873	38.08873	-121.73316	-121.73316
21-23-SBM01	38.09434	38.09434	-122.04155	-122.04155
21-23-SBW01	38.06889	38.06889	-122.08981	-122.08981
21-23-SM01	38.19245	38.19245	-121.92966	-121.92966
21-23-SM02	38.19081	38.19081	-122.03812	-122.03812
21-23-SM03	38.16119	38.16119	-122.04765	-122.04765
21-23-SPE01	38.04377	38.04377	-122.30312	-122.30312
21-23-SPE02	38.05821	38.05821	-122.27422	-122.27422
21-24-CF01	38.02872	38.02872	-121.84875	-121.84875
21-24-CF02	38.04719	38.04719	-121.8944	-121.8944
21-24-CS01	38.2511	38.2511	-121.72311	-121.72311
21-24-CS02	38.24845	38.24845	-121.70904	-121.70904
21-24-CS03	38.2856	38.2856	-121.71708	-121.71708
21-24-CS04	38.25599	38.25599	-121.67163	-121.67163
21-24-FT01	37.98224	37.98224	-121.62246	-121.62246
21-24-HC01	38.04221	38.04221	-121.57237	-121.57237
21-24-HC02	38.02094	38.02094	-121.58264	-121.58264
21-24-LSJ01	38.02888	38.02888	-121.75461	-121.75461
21-24-LSR01	38.05887	38.05887	-121.80515	-121.80515
21-24-LSR02	38.07504	38.07504	-121.76599	-121.76599
21-24-LSR03	38.06551	38.06551	-121.77851	-121.77851
21-24-LSR04	38.06393	38.06393	-121.83195	-121.83195
21-24-LSSC01	38.21282	38.21282	-121.66674	-121.66674
21-24-MIW01	38.02646	38.02646	-121.52311	-121.52311
21-24-MIW02	37.98815	37.98815	-121.51315	-121.51315
21-24-MIW03	37.97027	37.97027	-121.53691	-121.53691
21-24-PP01	38.07971	38.07971	-121.57109	-121.57109
21-24-PP02	38.09945	38.09945	-121.5995	-121.5995
21-24-PP03	38.07502	38.07502	-121.56117	-121.56117
21-24-RV01	38.16976	38.16976	-121.67354	-121.67354
21-24-RV02	38.11023	38.11023	-121.70978	-121.70978
21-24-SBM01	38.06996	38.06996	-121.97271	-121.97271
21-24-SBM02	38.06448	38.06448	-122.05388	-122.05388
21-24-SBM03	38.05713	38.05713	-121.98233	-121.98233
21-24-SBW01	38.04843	38.04843	-122.11462	-122.11462
21-24-SJT01	38.10243	38.10243	-121.62451	-121.62451
21-24-SJT02	38.09347	38.09347	-121.65461	-121.65461
21-24-SM01	38.15524	38.15524	-121.92273	-121.92273
21-24-SM02	38.16414	38.16414	-122.04546	-122.04546
21-24-SM03	38.14457	38.14457	-122.06834	-122.06834
21-24-SPE01	38.03405	38.03405	-122.30444	-122.30444
21-24-SPE02	38.06215	38.06215	-122.31063	-122.31063
21-24-SPE03	38.05378	38.05378	-122.3067	-122.3067
21-24-USSC01	38.50958	38.50958	-121.58433	-121.58433
21-24-USSC02	38.55932	38.55932	-121.567	-121.567
21-26-CF01	38.04584	38.04584	-121.89336	-121.89336
21-26-FT01	38.04011	38.04011	-121.5919	-121.5919
21-26-FT02	38.02773	38.02773	-121.60925	-121.60925
21-26-GLW01	37.82003	37.82003	-121.54881	-121.54881
21-26-LSJ01	38.03592	38.03592	-121.71532	-121.71532
21-26-LSJ02	38.02406	38.02406	-121.79474	-121.79474
21-26-LSR01	38.05832	38.05832	-121.81017	-121.81017
21-26-LSR02	38.08367	38.08367	-121.75248	-121.75248
21-26-LSSC01	38.1951	38.1951	-121.65612	-121.65612
21-26-LSSC02	38.20769	38.20769	-121.65703	-121.65703
21-26-LSSC03	38.40851	38.40851	-121.61348	-121.61348
21-26-MIW01	37.98973	37.98973	-121.51443	-121.51443
21-26-MRW01	37.9216	37.9216	-121.5186	-121.5186
21-26-RV01	38.11117	38.11117	-121.70759	-121.70759
21-26-SBM01	38.0508	38.0508	-121.97528	-121.97528
21-26-SBM02	38.05835	38.05835	-121.99893	-121.99893
21-26-SJT01	38.09027	38.09027	-121.6414	-121.6414
21-26-SM01	38.15716	38.15716	-122.05096	-122.05096
21-26-SM02	38.1445	38.1445	-122.05985	-122.05985
21-26-SM03	38.18264	38.18264	-121.99121	-121.99121
21-26-VC01	37.85748	37.85748	-121.54105	-121.54105
21-27-CF01	38.0596	38.0596	-121.87354	-121.87354
21-27-CS01	38.30639	38.30639	-121.73223	-121.73223
21-27-CS02	38.25406	38.25406	-121.7237	-121.7237
21-27-CS03	38.27177	38.27177	-121.69349	-121.69349
21-27-FT01	38.05095	38.05095	-121.60097	-121.60097
21-27-FT02	38.03503	38.03503	-121.61492	-121.61492
21-27-FT03	38.01193	38.01193	-121.63763	-121.63763
21-27-FT04	38.03714	38.03714	-121.60102	-121.60102
21-27-FT05	38.05525	38.05525	-121.61578	-121.61578
21-27-GB01	38.10643	38.10643	-122.04108	-122.04108
21-27-GB02	38.11485	38.11485	-122.05506	-122.05506
21-27-HB01	38.06821	38.06821	-121.95801	-121.95801
21-27-HC01	38.05305	38.05305	-121.58126	-121.58126
21-27-HC02	38.00021	38.00021	-121.56863	-121.56863
